"Kid Mac","kidmacmusic.com","facebook.com/kidmacmusic","youtube.com/watch?v=4NwBTeNRJLA","sonicbids.com/band/KidMac","","Maroubra","","AUSTRALIA"
"The Starbems","thestarbems.com","facebook.com/thestarbems","","sonicbids.com/band/THESTARBEMS","","Tokyo","","JAPAN"
"Feathers","","facebook.com/feathersmusic","youtube.com/feathersmusicUS","","","Austin","TX",""
"Tim Easton","TimEaston.com","facebook.com/TheTimEaston?ref=hl","youtube.com/channel/UCxTmagMPsa4dWREW063A4gQ","sonicbids.com/band/TimEaston2","","Nashville","TN",""
"Jarren Benton","","facebook.com/JarrenBenton","","","","Decatur","GA",""
"Peterson Brothers Band","","facebook.com/petersonbrothersband","youtube.com/petersonbrothers","","","Bastrop","TX",""
"Glen Check","","facebook.com/bandglencheck","","","","Seoul","","SOUTH KOREA"
"DJ Grip ","djgriptexas.com","facebook.com/djgrip","youtube.com/djgriptv","sonicbids.com/band/DJGrip","","Austin","TX",""
"Slow Down, Molasses","slowdownmolasses.com","facebook.com/slowdownmolasses","","sonicbids.com/band/SlowdownMolasses","","Saskatoon","SK","CANADA"
"NELL","","","youtube.com/playlist?list=PLAB2A75E2B6F8C71C","","","Seoul","","SOUTH KOREA"
"the Soil & the Sun","thesoilandthesun.com/","facebook.com/pages/the-Soil-the-Sun/140264570762","youtube.com/user/Audiotreetv","sonicbids.com/band/theSoilandtheSun","","Grand Rapids","MI",""
"Gunplay","","facebook.com/pages/gunplaymmg/158890204282576","","","","Miami","FL",""
"ISSUE","","facebook.com/iheardissue","youtube.com/teaholics","","","Vallejo","CA",""
"King Parrot","facebook.com/kingparrotband/app_2405167945","facebook.com/kingparrotband","youtube.com/kingparrotband","sonicbids.com/band/KingParrot","","Melbourne","","AUSTRALIA"
"The Standards","thestandardstunes.com","facebook.com/thestandardstunes","youtube.com/user/TheStandardsOfficial?feature=watch","sonicbids.com/band/thestandardstunes","","Bangkok","","THAILAND"
"Cairn String Quartet","cairnstringquartet.com","facebook.com/pages/Cairn-String-Quartet/58514863108","youtube.com/user/cairnstringquartet","sonicbids.com/band/CairnStringQuartet","","Glasgow","","UK-SCOTLAND"
"Bully","bullythemusic.bandcamp.com/","facebook.com/bullythemusic","youtube.com/user/bullythemusic","sonicbids.com/band/Bully6","","Nashville","TN",""
"Nikki Lane","","facebook.com/nikkilanemusic","youtube.com/user/nikkilanemusic","","","Greenville","SC",""
"Dave Alvin and Phil Alvin","","facebook.com/davealvinofficial?ref=hl","youtube.com/artist/dave-alvin","","","Los Angeles","CA",""
"Starmarie","","facebook.com/pages/Starmarie/256036111109555","youtube.com/watch?v=m_SC2_vzz5I","","","Tokyo","","JAPAN"
"Jungles from Red Bacteria Vacuum","","facebook.com/pages/jungles/477099642385383?fref=ts","youtube.com/results?q=Red+Bacteria+Vacuum's&oe=utf-8&aq=t&rls=org.mozilla:ja:official&hl=ja&client=firefox-a&um=1&ie=UTF-8&gl=JP&sa=N&tab=w1","","","Tokyo","","JAPAN"
"The Howlin' Brothers","","facebook.com/HowlinBrothers","bit.ly/15zPgsh","","","Hermitage","SD",""
"Sister Sparrow & The Dirty Birds","","facebook.com/sistersparrow","youtube.com/sistersparrowvideos","","","Brooklyn","NY",""
"Liz Longley","","facebook.com/LizLongleyMusic","youtube.com/user/LizLongley","","","Nashville","TN",""
"The Black Lillies","","facebook.com/theblacklillies","youtube.com/user/theblacklillies?feature=watch","","","Knoxville","TN",""
"The Whigs","","facebook.com/thewhigs","youtube.com/user/TheWhigsband","","","Athens","GA",""
"Luther Dickinson","","facebook.com/songsofthesouth","youtube.com/user/LutherDickinson/videos","","","Memphis","TN",""
"The Giving Tree Band","","facebook.com/thegivingtreeband","youtube.com/artist/the-giving-tree-band","","","Yorkville","IL",""
"Suzy Bogguss","","facebook.com/SuzyBogguss","","","","Nashville","TN",""
"IDIOTAPE","idiotape.com","facebook.com/Idiotape","youtube.com/VUENTER","sonicbids.com/band/IDIOTAPE3","","Seoul","","SOUTH KOREA"
"Pommez Internacional","pommez.com.ar","facebook.com/pommezinternacional","youtube.com/pommezinternacional","sonicbids.com/band/PommezInternacional","","Buenos Aires","","ARGENTINA"
"Ron Pope","","Facebook.com/RonPopeOfficial","Youtube.com/RonPopeMusic","","","Brooklyn","NY",""
